name,type,isin,ticker_euronext,market,eligible_pea,yahoo_ticker
ACCOR SA,Common Stock,,AC,Euronext Paris,True,AC.PA
HYDRAULIQUE HOLDING,Common Stock,,MLHYD,Euronext Paris,True,MLHYD.PA
REMY COINTREAU,Common Stock,,RCO,Euronext Paris,True,RCO.PA
PASSAT,Common Stock,,ALPAS,Euronext Paris,True,ALPAS.PA
FONCIERE EURIS,Common Stock,,EURS,Euronext Paris,True,EURS.PA
DASSAULT AVIATION SA,Common Stock,,AM,Euronext Paris,True,AM.PA
SCHNEIDER ELECTRIC SE,Common Stock,,SU,Euronext Paris,True,SU.PA
SOCIETE BIC SA,Common Stock,,BB,Euronext Paris,True,BB.PA
BNP PARIBAS,Common Stock,,BNP,Euronext Paris,True,BNP.PA
SAVENCIA SA,Common Stock,,SAVE,Euronext Paris,True,SAVE.PA
BOUYGUES SA,Common Stock,,EN,Euronext Paris,True,EN.PA
DANONE,Common Stock,,BN,Euronext Paris,True,BN.PA
CAPGEMINI SE,Common Stock,,CAP,Euronext Paris,True,CAP.PA
CARREFOUR SA,Common Stock,,CA,Euronext Paris,True,CA.PA
CASINO GUICHARD PERRACHON,Common Stock,,CO,Euronext Paris,True,CO.PA
MERSEN,Common Stock,,MRN,Euronext Paris,True,MRN.PA
VIRIDIEN,Common Stock,,VIRI,Euronext Paris,True,VIRI.PA
VIVENDI SE,Common Stock,,VIV,Euronext Paris,True,VIV.PA
TOTALENERGIES EP GABON,Common Stock,,EC,Euronext Paris,True,EC.PA
FORVIA,Common Stock,,FRVIA,Euronext Paris,True,FRVIA.PA
NORTH ATLANTIC ENERGIES,Common Stock,,NAE,Euronext Paris,True,NAE.PA
ESSILORLUXOTTICA,Common Stock,,EL,Euronext Paris,True,EL.PA
EURAZEO SE,Common Stock,,RF,Euronext Paris,True,RF.PA
SODEXO SA,Common Stock,,SW,Euronext Paris,True,SW.PA
EIFFAGE,Common Stock,,FGR,Euronext Paris,True,FGR.PA
GASCOGNE,Common Stock,,ALBI,Euronext Paris,True,ALBI.PA
GAUMONT SA,Common Stock,,GAM,Euronext Paris,True,GAM.PA
GUERBET,Common Stock,,GBT,Euronext Paris,True,GBT.PA
VERNEY-CARRON SA-REG SHS,Common Stock,,MLVER,Euronext Paris,True,MLVER.PA
JACQUET METALS SA,Common Stock,,JCQ,Euronext Paris,True,JCQ.PA
IMERYS SA,Common Stock,,NK,Euronext Paris,True,NK.PA
MANITOU BF,Common Stock,,MTU,Euronext Paris,True,MTU.PA
COMPAGNIE LEBON,Common Stock,,ALBON,Euronext Paris,True,ALBON.PA
LECTRA,Common Stock,,LSS,Euronext Paris,True,LSS.PA
LVMH MOET HENNESSY LOUIS VUI,Common Stock,,MC,Euronext Paris,True,MC.PA
AXA SA,Common Stock,,CS,Euronext Paris,True,CS.PA
ROBERTET SA,Common Stock,,RBT,Euronext Paris,True,RBT.PA
MICHELIN (CGDE),Common Stock,,ML,Euronext Paris,True,ML.PA
ROBERTET SA-CI,Common Stock,,CBE,Euronext Paris,True,CBE.PA
TELEPERFORMANCE,Common Stock,,TEP,Euronext Paris,True,TEP.PA
LAGARDERE SA,Common Stock,,MMB,Euronext Paris,True,MMB.PA
WENDEL,Common Stock,,MF,Euronext Paris,True,MF.PA
BERNARD LOISEAU SA,Common Stock,,ALDBL,Euronext Paris,True,ALDBL.PA
SYNERGIE SA,Common Stock,,SDG,Euronext Paris,True,SDG.PA
L'OREAL,Common Stock,,OR,Euronext Paris,True,OR.PA
PERNOD RICARD SA,Common Stock,,RI,Euronext Paris,True,RI.PA
KERING,Common Stock,,KER,Euronext Paris,True,KER.PA
PUBLICIS GROUPE,Common Stock,,PUB,Euronext Paris,True,PUB.PA
SEB SA,Common Stock,,SK,Euronext Paris,True,SK.PA
COMPAGNIE DE SAINT GOBAIN,Common Stock,,SGO,Euronext Paris,True,SGO.PA
SOCIETE GENERALE SA,Common Stock,,GLE,Euronext Paris,True,GLE.PA
THALES SA,Common Stock,,HO,Euronext Paris,True,HO.PA
TELEVISION FRANCAISE (T.F.1),Common Stock,,TFI,Euronext Paris,True,TFI.PA
VICAT,Common Stock,,VCT,Euronext Paris,True,VCT.PA
VALLOUREC SA,Common Stock,,VK,Euronext Paris,True,VK.PA
VALEO,Common Stock,,FR,Euronext Paris,True,FR.PA
STRADIM-ESPACE FINANCES SA,Common Stock,,ALSAS,Euronext Paris,True,ALSAS.PA
OPMOBILITY,Common Stock,,OPM,Euronext Paris,True,OPM.PA
ALTEN SA,Common Stock,,ATE,Euronext Paris,True,ATE.PA
GROUPE CRIT,Common Stock,,CEN,Euronext Paris,True,CEN.PA
STEF,Common Stock,,STF,Euronext Paris,True,STF.PA
CATERING INTL SERVICES,Common Stock,,ALCIS,Euronext Paris,True,ALCIS.PA
GROUPE GUILLIN,Common Stock,,ALGIL,Euronext Paris,True,ALGIL.PA
